,FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
13156,2019,10,DEPT OF EDUCATION,Other Items,TJM PROMOS,Nondurable Goods Not Elsewhere Classified,3/29/2019,3390.0
13157,2019,10,DEPT OF EDUCATION,Other Items,DLG ENTERPRISES,Schools Educational Svc-Not Elsewhere Classified,4/17/2019,1491.84
13158,2019,10,DEPT OF EDUCATION,Other Items,DLG ENTERPRISES,Schools Educational Svc-Not Elsewhere Classified,3/28/2019,4350.74
13159,2019,10,DEPT OF EDUCATION,Other Items,PITSCO INC,Schools Educational Svc-Not Elsewhere Classified,3/28/2019,316.0
13160,2019,10,DEPT OF EDUCATION,Other Items,WWW.1AND1.COM,Computer Network-Information Services,4/17/2019,123.03
13161,2019,10,DEPT OF EDUCATION,Other Items,PITSCO INC,Schools Educational Svc-Not Elsewhere Classified,3/29/2019,1095.0
13162,2019,10,DEPT OF EDUCATION,Education Block Grants,ASSOC SUPERV AND CURR,Direct Marketing-Catalog Merchants,4/15/2019,14.0
13163,2019,10,DEPT OF EDUCATION,Education Block Grants,REI*GREENWOODHEINEMANN,Book Stores,4/1/2019,59.06
13164,2019,10,DEPT OF EDUCATION,Education Block Grants,4TE*ADVANTECH INCORPORATE,Detectve-Protectve Agncy Security Srvs Armor Cars,4/19/2019,48.0
13165,2019,10,DEPT OF EDUCATION,Education Block Grants,SHRM*MEMBER601036072,Organizations Membership-Not Elsewhere Classified,4/18/2019,189.0
13166,2019,10,DEPT OF EDUCATION,Education Block Grants,TC *STATIONERY HOUSE,Stationery-Office Supplies-Printing Writing Pap,4/22/2019,254.56
13167,2019,10,DEPT OF EDUCATION,Education Block Grants,DELTA AIR 0067354133399,Airline,4/25/2019,116.6
13168,2019,10,DEPT OF EDUCATION,Education Block Grants,VWR INTERNATIONAL INC,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,4/27/2019,23.56
13169,2019,10,DEPT OF EDUCATION,Education Block Grants,AMAZON.COM*MW60V66V1,Book Stores,3/31/2019,2140.2
13170,2019,10,DEPT OF EDUCATION,Education Block Grants,USPS PO 0917600901,Postal Services-Government Only,4/9/2019,6.85
13171,2019,10,DEPT OF EDUCATION,Education Block Grants,OFFICEMAX/OFFICEDEPT#6871,Direct Marketing-Combination Catalog-Retail Merch,4/3/2019,121.92
13172,2019,10,DEPT OF EDUCATION,Education Block Grants,GUILFORD PUBLICATIONS IN,Books Periodicals And Newspapers,4/2/2019,1848.0
13173,2019,10,DEPT OF EDUCATION,Education Block Grants,USPS PO 0917600901,Postal Services-Government Only,4/3/2019,27.4
13174,2019,10,DEPT OF EDUCATION,Education Block Grants,USPS PO 0917600901,Postal Services-Government Only,4/10/2019,6.85
13175,2019,10,DEPT OF EDUCATION,Education Block Grants,ASSOC SUPERV AND CURR,Direct Marketing-Catalog Merchants,4/15/2019,199.8
13176,2019,10,DEPT OF EDUCATION,Education Block Grants,AMAZON.COM*MZ2ZO6Z02,Book Stores,4/16/2019,14.49
13177,2019,10,DEPT OF EDUCATION,Education Block Grants,CENTER FOR BUSINESS MANAG,Organizations Charitable And Social Services,4/18/2019,150.0
13178,2019,10,DEPT OF EDUCATION,Education Block Grants,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,4/10/2019,567.49
13179,2019,10,DEPT OF EDUCATION,Education Block Grants,CAREERBUILDER,Advertising Services,4/8/2019,213.57
13180,2019,10,DEPT OF EDUCATION,Education Block Grants,BARNES And NOBLE 2366,Book Stores,4/4/2019,9764.0
13181,2019,10,DEPT OF EDUCATION,Education Block Grants,CAREERBUILDER,Advertising Services,4/9/2019,-213.57
13182,2019,10,DEPT OF EDUCATION,Education Block Grants,UPS*1Z21X9562496668447,Courier Svc-Air Ground Freight Forwarders,3/27/2019,12.77
13183,2019,10,DEPT OF EDUCATION,Education Block Grants,PAYPAL *DELAWARESCH,Schools Educational Svc-Not Elsewhere Classified,3/27/2019,67.0
13184,2019,10,DEPT OF EDUCATION,Education Block Grants,REI*GREENWOODHEINEMANN,Book Stores,4/1/2019,590.63
13185,2019,10,DEPT OF EDUCATION,Education Block Grants,HILTON CAPITAL,Lodging,4/11/2019,1833.45
13186,2019,10,DEPT OF EDUCATION,Education Block Grants,CENTER FOR BUSINESS MANAG,Organizations Charitable And Social Services,4/18/2019,7.0
13187,2019,10,DEPT OF EDUCATION,Education Block Grants,CCSSO,Organizations Membership-Not Elsewhere Classified,4/23/2019,495.0
13188,2019,10,DEPT OF EDUCATION,Special Needs Programs,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,4/26/2019,35.79
